city_id,Hotel_name,Mobile,landline,Email,Contact Person ,Emergency Contact  No,Hotel address,Statecountry_id,Website,Bank Name,Account Type,Account No,Branch,IFSCswift Code,TaxNo,Personal Identification NoPIN,Hotel Category,Child Without Bed From Age,Child Without Bed To Age,Child With Bed From Age,Child With Bed To  Age,Hotel Type,Hotel Description,Opening Balance,Balance Side
9908,Ms Summer Sands,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744103,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms Sea Shell Neil Island Hotel & Resorts,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744104,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Girish Arora Ms Sea Shell Samsara,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744105,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms TSG Hotels & Resorts,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744106,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms Silver Sand Bar & Restaurant,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744107,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Coco N Hut,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744108,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms Fat Martin Emrald Gecko Restaurant,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744109,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms Tango Beach Restaurant,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744110,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Hoiliday Inn Beach Resort Pvt Ltd,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744111,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Sea Grass Caf Dive India Scuba & Resort Vandit Kalia Managing Director,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744112,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Smti Rakhi Bhattacharya Ms Hotel Amullya,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744113,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms Neha Palace Restaurant,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744114,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms Reef Vally,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744115,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms The Lava Havelock,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744116,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms Seven Seas Dream Castle,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744117,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms Deep Sea Resort Andaman Pvt Ltd,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744118,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Hotel Kingfisher,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744119,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Ms Pearl Park Beach Resort,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744120,3,,,,,,,,,3 Star,2,4,5,11,,,,
9908,Sarthak Residency,9096685012,,pramod@itwebservicesco,Pramod Kotkar,,NeilIsland Andaman and Nicobar Islands 744121,3,,,,,,,,,3 Star,2,4,5,11,,,,
